sample_id,length,local_mode,representation,representation_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features
L69_center_00096,69,center,ck4,CK4,0.41363171738187027,0.3373733902729019,-0.07625832710896835,0.8156371382938082,136
L69_center_00097,69,center,ck4,CK4,0.437126837585682,0.3209236243448871,-0.11620321324079491,0.73416591421702,136
L69_center_00098,69,center,ck4,CK4,0.43712683758568205,0.3209236243448871,-0.11620321324079497,0.73416591421702,136
L69_center_00099,69,center,ck4,CK4,0.41363171738187027,0.33637626868090736,-0.0772554487009629,0.8132264875866866,136
L69_center_00100,69,center,ck4,CK4,0.4196664666314054,0.30846670096033324,-0.11119976567107215,0.7350282319107967,136
L69_center_00101,69,center,ck4,CK4,0.388090424468096,0.305572701802778,-0.08251772266531798,0.7873750098874146,136
L69_center_00102,69,center,ck4,CK4,0.3917967387935116,0.30846670096033324,-0.08333003783317838,0.7873130897164109,136
L69_center_00103,69,center,ck4,CK4,0.3960590171906697,0.3156261807296516,-0.08043283646101812,0.7969170427388695,136
L69_center_00104,69,center,ck4,CK4,0.42386362352677354,0.33502296205323323,-0.0888406614735403,0.7904027226155003,136
L69_center_00105,69,center,ck4,CK4,0.3822128687116125,0.3071475584169756,-0.07506531029463687,0.803603393711803,136
L69_center_00106,69,center,ck4,CK4,0.40824829046386296,0.2943154558805195,-0.11393283458334347,0.7209226903218876,136
L69_center_00107,69,center,ck4,CK4,0.21201311323746613,0.3605452221938311,0.14853210895636498,1.7005798211641796,136
L69_center_00108,69,center,ck4,CK4,0.46592586823507853,0.33637626868090736,-0.12954959955417117,0.7219523353684922,136
L69_center_00109,69,center,ck4,CK4,0.32901153193317956,0.29000755089078184,-0.03900398104239772,0.8814510214483327,136
L69_center_00110,69,center,ck4,CK4,0.42758316196789975,0.3402491351099904,-0.08733402685790936,0.7957496117107019,136
L69_center_00111,69,center,ck4,CK4,0.3445572061999557,0.2767081128517001,-0.06784909334825562,0.8030832264501211,136
L69_center_00112,69,center,ck4,CK4,0.40761108095372894,0.3123475237772121,-0.09526355717651686,0.7662881073948749,136
L69_center_00113,69,center,ck4,CK4,0.3942636878361688,0.31943828249996997,-0.0748254053361988,0.8102148190545726,136
L69_center_00114,69,center,ck4,CK4,0.3138123222000537,0.2773500981126146,-0.0364622240874391,0.8838088197690509,136
L69_center_00115,69,center,ck4,CK4,0.36451647042016416,0.3313245784203318,-0.03319189199983236,0.9089426824484136,136
L69_center_00116,69,center,ck4,CK4,0.42870510261340916,0.34099716973523664,-0.08770793287817252,0.7954119688720748,136
L69_center_00117,69,center,ck4,CK4,0.39953959699031977,0.2840953455282215,-0.11544425146209825,0.711056795542357,136
L69_center_00118,69,center,ck4,CK4,0.42585024137452043,0.34099716973523675,-0.08485307163928368,0.8007443382786336,136
L69_center_00119,69,center,ck4,CK4,0.39095026798701865,0.3350229620532333,-0.055927305933785365,0.8569452165316269,136
L69_center_00120,69,center,ck4,CK4,0.3363762686809074,0.457495710997814,0.12111944231690658,1.3600713058381733,136
L69_center_00121,69,center,ck4,CK4,0.41026768295872545,0.3572948005052482,-0.052972882453477255,0.8708821468182603,136
L69_center_00122,69,center,ck4,CK4,0.4040610178208843,0.31076525292463,-0.09329576489625435,0.7691047619505544,136
L69_center_00123,69,center,ck4,CK4,0.40629195943033636,0.31028971910097536,-0.096002240329361,0.763711198065632,136
L69_center_00124,69,center,ck4,CK4,0.3073437246524405,0.3316808755411557,0.024337150888715242,1.079185449178235,136
L69_center_00125,69,center,ck4,CK4,0.414653261313358,0.32774604204307783,-0.08690721927028017,0.7904098981519805,136
L69_center_00126,69,center,ck4,CK4,0.3844873646277727,0.3015113445777637,-0.08297602005000904,0.7841905152583123,136
L69_center_00127,69,center,ck4,CK4,0.4040610178208843,0.31943828249996997,-0.08462273532091436,0.7905694150420948,136
L69_center_00128,69,center,ck4,CK4,0.4009632279164035,0.280056016805602,-0.1209072111108015,0.6984581061483041,136
L69_center_00129,69,center,ck4,CK4,0.37639288819152206,0.1863016509522903,-0.19009123723923177,0.494965916724477,136
L69_center_00130,69,center,ck4,CK4,0.414653261313358,0.32298251745240636,-0.09167074386095164,0.7789219272734116,136
L69_center_00131,69,center,ck4,CK4,0.4018588813476997,0.3009874755451905,-0.1008714058025092,0.748987989355317,136
L69_center_00132,69,center,ck4,CK4,0.43406152810659754,0.31622776601683794,-0.1178337620897596,0.7285321216930754,136
L69_center_00133,69,center,ck4,CK4,0.4120660855599385,0.32969023669789355,-0.08237584886204496,0.8000906850897277,136
L69_center_00134,69,center,ck4,CK4,0.3963769033358862,0.3413246019838121,-0.05505230135207412,0.8611112280035568,136
L69_center_00135,69,center,ck4,CK4,0.3865509072071687,0.3469084871023891,-0.03964242010477964,0.897445797265886,136
L69_center_00136,69,center,ck4,CK4,0.3917967387935117,0.31076525292463,-0.0810314858688817,0.7931797847056924,136
L69_center_00137,69,center,ck4,CK4,0.42418979151653297,0.34280720333731785,-0.08138258817921512,0.8081458115994213,136
L69_center_00138,69,center,ck4,CK4,0.40505577598566317,0.3261640365267211,-0.07889173945894207,0.8052324046806472,136
L69_center_00139,69,center,ck4,CK4,0.3685572822323802,0.3125275814382067,-0.05602970079417352,0.8479755970230808,136
L69_center_00140,69,center,ck4,CK4,0.4357174916160358,0.21201311323746613,-0.22370437837856966,0.48658389281350434,136
L69_center_00141,69,center,ck4,CK4,0.39646821133663623,0.3299426652098322,-0.06652554612680406,0.8322045898647898,136
