motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
130,155,SE155,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,155,151,24025,22801,nearest_linear_probe,1.0,1.0,2480
130,155,SE155,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,155,151,24025,22801,nearest_linear_probe,1.0,1.0,2384
130,155,SE155,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,155,151,24025,22801,nearest_linear_probe,0.6759259259259259,0.6760600130463144,147
130,155,SE155,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,155,151,24025,22801,nearest_linear_probe,1.0,1.0,11
130,160,SE160,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,160,156,25600,24336,nearest_linear_probe,0.9907407407407407,0.9907389542735867,1024
130,160,SE160,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,160,156,25600,24336,nearest_linear_probe,0.9907407407407407,0.9907389542735867,512
130,160,SE160,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,160,156,25600,24336,nearest_linear_probe,1.0,1.0,800
130,160,SE160,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,160,156,25600,24336,nearest_linear_probe,1.0,1.0,2560
130,160,SE160,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,160,156,25600,24336,nearest_linear_probe,1.0,1.0,2464
130,160,SE160,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,160,156,25600,24336,nearest_linear_probe,0.6388888888888888,0.6396628826969385,147
130,160,SE160,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,160,156,25600,24336,nearest_linear_probe,1.0,1.0,11
138,110,SE110,kmer5_count_l2,1.0,0.0,0.0,0.0,0.15,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.3425925925925926,0.3440726440726441,1024
138,110,SE110,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.15,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.3425925925925926,0.3419357149252395,512
138,110,SE110,property_channels,1.0,0.0,0.0,0.0,0.15,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.3611111111111111,0.36215596740979494,550
138,110,SE110,rope_property,1.0,0.0,0.0,0.0,0.15,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.4074074074074074,0.40608345902463555,1760
138,110,SE110,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.15,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.32407407407407407,0.321575543797766,1664
138,110,SE110,cspaced_property_l2,1.0,0.0,0.0,0.0,0.15,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.32407407407407407,0.3196372446306967,147
138,110,SE110,oracle_motif_pair,1.0,0.0,0.0,0.0,0.15,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
138,115,SE115,kmer5_count_l2,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.25925925925925924,0.2621398778115196,1024
138,115,SE115,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3333333333333333,0.33253552059522207,512
138,115,SE115,property_channels,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.35185185185185186,0.3468614718614719,575
138,115,SE115,rope_property,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.39814814814814814,0.39442652211761436,1840
138,115,SE115,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3333333333333333,0.3253953994827821,1744
138,115,SE115,cspaced_property_l2,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3611111111111111,0.3547415547415547,147
138,115,SE115,oracle_motif_pair,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
138,120,SE120,kmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.2962962962962963,0.2958914840987503,1024
138,120,SE120,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.35185185185185186,0.3507712944332663,512
138,120,SE120,property_channels,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.37037037037037035,0.3670614319705819,600
138,120,SE120,rope_property,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.4351851851851852,0.43143618177864757,1920
138,120,SE120,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.35185185185185186,0.34063204555007837,1824
138,120,SE120,cspaced_property_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.4074074074074074,0.4051714252952643,147
