representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
hybrid:ckmer5_count_l2+ckmer4_property_l2,nearest_centroid,151,5,653,0.21739130434782608,0.21091697882559418,within_genus_species,Enterobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_l2,logistic,151,5,653,0.2826086956521739,0.26635338345864656,within_genus_species,Enterobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,nearest_centroid,151,5,693,0.21739130434782608,0.21091697882559418,within_genus_species,Enterobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,logistic,151,5,693,0.2826086956521739,0.2704206468912351,within_genus_species,Enterobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,nearest_centroid,151,5,803,0.21739130434782608,0.21091697882559418,within_genus_species,Enterobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,logistic,151,5,803,0.2826086956521739,0.27048302505887645,within_genus_species,Enterobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,nearest_centroid,151,5,731,0.21739130434782608,0.21091697882559418,within_genus_species,Enterobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,logistic,151,5,731,0.30434782608695654,0.3051276065981948,within_genus_species,Enterobacter,69,clean,label
ckmer4_count_l2,nearest_centroid,93,2,135,0.6428571428571429,0.5906432748538011,target_background,Enterobacter,69,clean,target_binary
ckmer4_count_l2,logistic,93,2,135,0.5714285714285714,0.5087719298245614,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_l2,nearest_centroid,93,2,146,0.6428571428571429,0.5906432748538011,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_l2,logistic,93,2,146,0.6428571428571429,0.5625,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_moment_l2,nearest_centroid,93,2,186,0.6071428571428571,0.5354449472096531,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_moment_l2,logistic,93,2,186,0.6071428571428571,0.5354449472096531,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,93,2,221,0.6428571428571429,0.5906432748538011,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,logistic,93,2,221,0.6785714285714286,0.5491949910554561,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_multiscale_l2,nearest_centroid,93,2,296,0.6428571428571429,0.5906432748538011,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_multiscale_l2,logistic,93,2,296,0.7142857142857143,0.6190476190476191,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_anchor_l2,nearest_centroid,93,2,224,0.6428571428571429,0.5906432748538011,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_anchor_l2,logistic,93,2,224,0.5714285714285714,0.475,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,93,2,502,0.6785714285714286,0.5902439024390245,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,logistic,93,2,502,0.6785714285714286,0.5902439024390245,target_background,Enterobacter,69,clean,target_binary
ckmer5_property_moment_l2,nearest_centroid,93,2,549,0.6785714285714286,0.5902439024390245,target_background,Enterobacter,69,clean,target_binary
ckmer5_property_moment_l2,logistic,93,2,549,0.7142857142857143,0.65,target_background,Enterobacter,69,clean,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,93,2,659,0.6785714285714286,0.5902439024390245,target_background,Enterobacter,69,clean,target_binary
ckmer5_property_multiscale_l2,logistic,93,2,659,0.7142857142857143,0.6190476190476191,target_background,Enterobacter,69,clean,target_binary
ckmer5_property_anchor_l2,nearest_centroid,93,2,587,0.7142857142857143,0.65,target_background,Enterobacter,69,clean,target_binary
ckmer5_property_anchor_l2,logistic,93,2,587,0.6071428571428571,0.49918699186991866,target_background,Enterobacter,69,clean,target_binary
cspaced_property_l2,nearest_centroid,93,2,147,0.7142857142857143,0.6888888888888889,target_background,Enterobacter,69,clean,target_binary
cspaced_property_l2,logistic,93,2,147,0.6785714285714286,0.6415362731152205,target_background,Enterobacter,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_l2,nearest_centroid,93,2,648,0.6428571428571429,0.5625,target_background,Enterobacter,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_l2,logistic,93,2,648,0.6785714285714286,0.5902439024390245,target_background,Enterobacter,69,clean,target_binary
