representation,classifier,split,fold,task,length,condition,n_samples,n_groups,n_classes,n_features,accuracy,macro_f1,genus,label_col
ck4p_msp,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,109,109,2,222,0.6666666666666666,0.6370370370370371,Candida,target_binary
ck4p_msp,logistic,5fold_grouped_cv,2,target_background,69,clean,109,109,2,222,0.6666666666666666,0.5689149560117301,Candida,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,109,109,2,222,0.6363636363636364,0.5809523809523809,Candida,target_binary
ck4p_msp,logistic,5fold_grouped_cv,3,target_background,69,clean,109,109,2,222,0.6818181818181818,0.5111111111111111,Candida,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,4,target_background,69,clean,109,109,2,222,0.6818181818181818,0.6459770114942529,Candida,target_binary
ck4p_msp,logistic,5fold_grouped_cv,4,target_background,69,clean,109,109,2,222,0.6363636363636364,0.5416666666666666,Candida,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,5,target_background,69,clean,109,109,2,222,0.5454545454545454,0.47619047619047616,Candida,target_binary
ck4p_msp,logistic,5fold_grouped_cv,5,target_background,69,clean,109,109,2,222,0.6363636363636364,0.5809523809523809,Candida,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,109,109,2,500,0.7272727272727273,0.611764705882353,Candida,target_binary
ckmer5_count_l2,logistic,5fold_grouped_cv,1,target_background,69,clean,109,109,2,500,0.7272727272727273,0.42105263157894735,Candida,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,109,109,2,500,0.8095238095238095,0.7666666666666666,Candida,target_binary
ckmer5_count_l2,logistic,5fold_grouped_cv,2,target_background,69,clean,109,109,2,500,0.5714285714285714,0.4457478005865103,Candida,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,109,109,2,500,0.6818181818181818,0.5111111111111111,Candida,target_binary
